"","trial","m"
"904",24,1.11614075276123
"905",25,1.11779105685486
"906",26,1.11666401219574
"907",27,1.11288609901422
"908",28,1.11040482546929
"909",29,1.13016790483361
"910",30,1.13481338944371
"911",31,1.1320839090096
"912",32,1.14380448550755
"913",33,1.14380448550755
"914",34,1.13007180881555
"915",35,1.14380448550755
"916",36,1.14380448550755
"917",37,1.13366751451461
"918",38,1.14380448550755
"919",39,1.14380448550755
"920",40,1.14380448550755
"921",1,-0.149414635468321
"922",2,0.148694943174763
"923",3,0.410648657399987
"924",4,0.570198735834988
"925",5,0.651908456044061
"926",6,0.747172605895069
"927",7,0.877776707716028
"928",8,0.885768860254567
"929",9,0.934444894093665
"930",10,0.961287210014894
