"","id","trial","x","y","ymax","kernel","scenario","horizon","round","reward","experimentDuration","instructionsDuration","env","overall","Horizon","tau","lambda","beta"
"89",1,4,24,52.5908241748758,0.32,"Rough","Avg. Reward Condition",5,"11",1.01,"0:04:16","0:00:52",5,11,"Short",0.00673794982012007,0.489333260241365,0.480300593311314
"90",1,5,8,8.76174696586935,0.32,"Rough","Avg. Reward Condition",5,"11",1.01,"0:04:16","0:00:52",5,11,"Short",0.00673794982012007,0.489333260241365,0.480300593311314
"91",1,6,25,50.1512576420825,0.32,"Rough","Avg. Reward Condition",5,"11",1.01,"0:04:16","0:00:52",5,11,"Short",0.00673794982012007,0.489333260241365,0.480300593311314
"92",1,1,3,30.4860931306298,-0.05,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.00924515163276263,0.459534520928072,0.560020775013683
"93",1,2,5,13.8022747740817,-0.01,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.00924515163276263,0.459534520928072,0.560020775013683
"94",1,3,23,64.8262742170927,0.05,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.00924515163276263,0.459534520928072,0.560020775013683
"95",1,4,23,64.8262742170927,0.05,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.00924515163276263,0.459534520928072,0.560020775013683
"96",1,5,23,64.8262742170927,0.05,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.00924515163276263,0.459534520928072,0.560020775013683
"97",1,6,27,28.9777593608008,0.05,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.00924515163276263,0.459534520928072,0.560020775013683
"98",1,7,23,64.8262742170927,0.05,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.00924515163276263,0.459534520928072,0.560020775013683
"99",1,8,23,64.8262742170927,0.05,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.00924515163276263,0.459534520928072,0.560020775013683
"100",1,9,22,47.9929053538578,0.05,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.00924515163276263,0.459534520928072,0.560020775013683
"101",1,10,0,83.0100296633392,0.15,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.00924515163276263,0.459534520928072,0.560020775013683
"102",1,11,0,83.0100296633392,0.15,"Rough","Avg. Reward Condition",10,"12",1.01,"0:04:16","0:00:52",14,12,"Long",0.00924515163276263,0.459534520928072,0.560020775013683
"103",1,1,12,46.792623645699,0.01,"Rough","Avg. Reward Condition",5,"13",1.01,"0:04:16","0:00:52",36,13,"Short",0.00673818454156449,0.472454354733033,0.745845520321006
"104",1,2,8,65.093962398633,0.01,"Rough","Avg. Reward Condition",5,"13",1.01,"0:04:16","0:00:52",36,13,"Short",0.00673818454156449,0.472454354733033,0.745845520321006
"105",1,3,5,34.7619616308962,0.13,"Rough","Avg. Reward Condition",5,"13",1.01,"0:04:16","0:00:52",36,13,"Short",0.00673818454156449,0.472454354733033,0.745845520321006
"106",1,4,1,61.1114338586066,0.13,"Rough","Avg. Reward Condition",5,"13",1.01,"0:04:16","0:00:52",36,13,"Short",0.00673818454156449,0.472454354733033,0.745845520321006
"107",1,5,17,78.1802098686721,0.14,"Rough","Avg. Reward Condition",5,"13",1.01,"0:04:16","0:00:52",36,13,"Short",0.00673818454156449,0.472454354733033,0.745845520321006
"108",1,6,17,78.1802098686721,0.19,"Rough","Avg. Reward Condition",5,"13",1.01,"0:04:16","0:00:52",36,13,"Short",0.00673818454156449,0.472454354733033,0.745845520321006
"109",1,1,21,54.2969972048242,0.2,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0338454929855609,0.683454336300505,0.516810149351686
"110",1,2,6,35.2164480236978,0.44,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0338454929855609,0.683454336300505,0.516810149351686
"111",1,3,27,100,0.44,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0338454929855609,0.683454336300505,0.516810149351686
"112",1,4,27,100,0.44,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0338454929855609,0.683454336300505,0.516810149351686
"113",1,5,27,100,0.44,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0338454929855609,0.683454336300505,0.516810149351686
"114",1,6,27,100,0.49,"Rough","Avg. Reward Condition",10,"14",1.01,"0:04:16","0:00:52",23,14,"Long",0.0338454929855609,0.683454336300505,0.516810149351686
