"","id","trial","x","y","ymax","kernel","scenario","horizon","round","reward","experimentDuration","instructionsDuration","env","overall","Horizon","tau","kError","lambda","beta"
"68",1,11,12,56.9337109876356,0.51,"Rough","Avg. Reward Condition",10,"8",1.01,"0:04:16","0:00:52",10,8,"Long",0.0825844624680173,1.74661164293635,NA,0.459200088314514
"69",1,1,7,45.7833653175891,-0.18,"Rough","Avg. Reward Condition",5,"9",1.01,"0:04:16","0:00:52",22,9,"Short",0.124495823344052,1.61461088330963,NA,0.306274144268509
"70",1,2,12,78.9187062231378,-0.1,"Rough","Avg. Reward Condition",5,"9",1.01,"0:04:16","0:00:52",22,9,"Short",0.124495823344052,1.61461088330963,NA,0.306274144268509
"71",1,3,27,39.0109447685958,0.11,"Rough","Avg. Reward Condition",5,"9",1.01,"0:04:16","0:00:52",22,9,"Short",0.124495823344052,1.61461088330963,NA,0.306274144268509
"72",1,4,26,30.7959502745699,0.26,"Rough","Avg. Reward Condition",5,"9",1.01,"0:04:16","0:00:52",22,9,"Short",0.124495823344052,1.61461088330963,NA,0.306274144268509
"73",1,5,20,43.9222896542606,0.26,"Rough","Avg. Reward Condition",5,"9",1.01,"0:04:16","0:00:52",22,9,"Short",0.124495823344052,1.61461088330963,NA,0.306274144268509
"74",1,6,16,13.98554908887,0.34,"Rough","Avg. Reward Condition",5,"9",1.01,"0:04:16","0:00:52",22,9,"Short",0.124495823344052,1.61461088330963,NA,0.306274144268509
"75",1,1,3,21.438656908097,-0.17,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.123462894508395,1.12466594934107,NA,0.455830060643
"76",1,2,0,100,-0.07,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.123462894508395,1.12466594934107,NA,0.455830060643
"77",1,3,24,14.2908049091482,0.15,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.123462894508395,1.12466594934107,NA,0.455830060643
"78",1,4,7,26.1508196666548,0.15,"Rough","Avg. Reward Condition",10,"10",1.01,"0:04:16","0:00:52",2,10,"Long",0.123462894508395,1.12466594934107,NA,0.455830060643
