"","participant","reward","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName"
"96",16,"Cumulative",739.578291676387,"LRBF","UCB",0.35744145078487,0.87,NA,46.9154540725597,54.3154714179503,1.73067960022222,"LRBF-UCB"
"97",17,"Cumulative",849.652136893891,"LRBF","UCB",0.261807369734207,1.14,NA,0.371008597672941,0.232029095125856,0.0622296594555241,"LRBF-UCB"
"98",18,"Cumulative",811.251760233702,"LRBF","UCB",0.295170288297104,0.9,NA,0.0840771402740466,27.3389287286797,5.79175682471254,"LRBF-UCB"
"99",19,"Best",724.270098727988,"LRBF","UCB",0.370741476438317,1.23,NA,0.0867849501924808,0.852084429662676,0.151343287947817,"LRBF-UCB"
"100",20,"Best",1059.21045459099,"LRBF","UCB",0.0797394397924053,1.05,NA,0.725665748367297,3.87391411856026,0.877871549563542,"LRBF-UCB"
"101",21,"Best",720.346375467983,"LRBF","UCB",0.374150475801664,1.02,NA,0.649939041411774,21.3496092860722,4.40216421735065,"LRBF-UCB"
"102",22,"Best",601.783639592869,"LRBF","UCB",0.477159853459581,0.92,NA,0.0521378664543553,99.9156888867847,15.2902916157095,"LRBF-UCB"
"103",23,"Cumulative",902.476570056553,"LRBF","UCB",0.215912578718676,0.85,NA,0.598234734983551,1.21985125675062,0.285224664201491,"LRBF-UCB"
"104",24,"Cumulative",727.990456634737,"LRBF","UCB",0.367509164449139,0.83,NA,0.448340624520887,99.7322597642179,17.9273571627578,"LRBF-UCB"
"105",25,"Best",1048.75287324932,"LRBF","UCB",0.0888251692828927,0.76,NA,0.0478517646162065,60.6002308428667,16.6326796098218,"LRBF-UCB"
"106",26,"Best",901.690094480355,"LRBF","UCB",0.216595882448548,1.14,NA,0.713544800751508,107.014972884348,22.5091213378016,"LRBF-UCB"
"107",27,"Best",931.522719886802,"LRBF","UCB",0.190676775957476,1.06,NA,0.242322613905215,65.6529553371864,15.9614482225927,"LRBF-UCB"
"108",28,"Cumulative",876.506135860124,"LRBF","UCB",0.23847614596714,0.82,NA,0.715552444313157,116.118934136123,18.4423572021895,"LRBF-UCB"
"109",29,"Cumulative",738.040971307168,"LRBF","UCB",0.358777101597288,0.82,NA,0.316492908178932,55.4595440707735,10.4884856564621,"LRBF-UCB"
"110",30,"Cumulative",795.775723732989,"LRBF","UCB",0.308616139363065,1.08,NA,0.0906492989175958,0.233115216130953,0.0559442430570716,"LRBF-UCB"
"111",31,"Best",839.756079832257,"LRBF","UCB",0.270405237113549,1.47,NA,0.336996780900979,0.531810016289507,0.11658788388128,"LRBF-UCB"
"112",32,"Best",1078.6631420284,"LRBF","UCB",0.0628386048723022,1.07,NA,0.593737827658293,2.13417879369513,0.613678513379781,"LRBF-UCB"
"113",33,"Best",882.372509348975,"LRBF","UCB",0.233379338123299,0.96,NA,0.537968101577625,55.6101553924662,9.34016692560286,"LRBF-UCB"
"114",34,"Cumulative",805.891094831761,"LRBF","UCB",0.299827728114181,0.91,NA,0.406015868881813,0.556824934923442,0.113524260871351,"LRBF-UCB"
"115",35,"Cumulative",528.599167746092,"LRBF","UCB",0.540743802020794,1.31,NA,0.259576158823692,0.106138371764441,0.0409500219703043,"LRBF-UCB"
"116",36,"Cumulative",911.182255490515,"LRBF","UCB",0.208348927019691,0.98,NA,0.0899520405071193,0.279244927457792,0.0698211714099412,"LRBF-UCB"
"117",37,"Cumulative",786.707307299817,"LRBF","UCB",0.316494938095475,0.87,NA,0.654615074673413,26.1505529063382,4.94222477435055,"LRBF-UCB"
"118",38,"Best",872.706512263341,"LRBF","UCB",0.241777325373553,1.12,NA,0.0412080946813855,63.7320181200826,13.1972288681108,"LRBF-UCB"
"119",39,"Best",829.73056555057,"LRBF","UCB",0.279115579188861,1.24,NA,0.414457110287702,133.018600518917,20.9352395966731,"LRBF-UCB"
"120",40,"Best",963.24353036859,"LRBF","UCB",0.163117181263444,1.34,NA,0.555139332921953,0.99177811571597,0.258783914002131,"LRBF-UCB"
"121",41,"Best",872.90752669407,"LRBF","UCB",0.241602680521975,1.16,NA,0.591063518067043,4.65908702071872,1.09493391726781,"LRBF-UCB"
"122",42,"Cumulative",674.886609241615,"LRBF","UCB",0.413646715432851,0.81,NA,0.372054407231912,99.6160896369385,16.2928127939012,"LRBF-UCB"
"123",43,"Cumulative",905.119894764294,"LRBF","UCB",0.213616012001634,0.87,NA,0.689147232894454,102.944226194934,21.2058386516097,"LRBF-UCB"
"124",44,"Cumulative",844.782744911228,"LRBF","UCB",0.266037982616107,0.82,NA,0.41972980876888,99.8820655632697,17.8631412606287,"LRBF-UCB"
"125",45,"Best",866.083550703189,"LRBF","UCB",0.247531470160513,0.96,NA,0.734219755832975,102.31997903725,16.401289901878,"LRBF-UCB"
"126",46,"Best",814.346058168609,"LRBF","UCB",0.292481908156327,1.08,NA,0.517590232890668,1.22225446037677,0.251983428359976,"LRBF-UCB"
"127",47,"Best",919.760205614615,"LRBF","UCB",0.200896253991001,0.91,NA,0.381968350935752,0.171059794129351,0.0469361903338035,"LRBF-UCB"
"128",48,"Cumulative",628.973266363742,"LRBF","UCB",0.453537030388353,1.25,NA,0.041559768827604,0.13121892137349,0.0407695592191379,"LRBF-UCB"
"129",49,"Cumulative",826.592218244688,"LRBF","UCB",0.281842230193219,0.88,NA,0.691933417547768,3.29348527580796,0.400387892020609,"LRBF-UCB"
"130",50,"Best",854.901421071628,"LRBF","UCB",0.257246699871901,1.11,NA,0.624936591234612,48.307930273305,9.57545368702335,"LRBF-UCB"
