"","participant","reward","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed"
"60",60,"Cumulative",692.902500236932,"LBMT","UCB",0.397994194379902,0.89,0.436349131576684,NA,0.257038285395172,0.104607274010167,"LBMT-UCB",10
"61",61,"Cumulative",488.858930785547,"LBMT","UCB",0.575270814636257,1.19,0.0067379480805816,NA,0.0516567637564147,0.0428927966174103,"LBMT-UCB",10
"62",62,"Cumulative",776.482744446017,"LBMT","UCB",0.325378217050033,0.86,0.756681875629567,NA,0.716643422162105,0.319161637037344,"LBMT-UCB",10
"63",63,"Cumulative",740.232442534663,"LBMT","UCB",0.356873113083247,0.88,2.09793389090343,NA,0.0499376955956515,0.0486681221811577,"LBMT-UCB",10
"64",64,"Best",423.571417406465,"LBMT","UCB",0.631993747625051,0.99,0.372912259858892,NA,0.130389159387624,0.0504630020390064,"LBMT-UCB",10
"65",65,"Best",856.101658334791,"LBMT","UCB",0.256203912754957,1.16,0.0343155149765659,NA,0.235191673538426,0.109957734870206,"LBMT-UCB",10
"66",66,"Best",844.386726188811,"LBMT","UCB",0.266382050605395,1.1,0.00674092192862066,NA,33.6443674080627,17.1911998447474,"LBMT-UCB",10
"67",67,"Cumulative",775.042668993372,"LBMT","UCB",0.326629379778882,0.83,0.00673995628287845,NA,0.21225265762423,0.0996533355878497,"LBMT-UCB",10
"68",68,"Best",571.400848208066,"LBMT","UCB",0.503556953770724,1.07,0.254772404648771,NA,0.130558194743622,0.0529231308238519,"LBMT-UCB",10
"69",69,"Best",892.674549409063,"LBMT","UCB",0.224428745617452,1.03,0.00674323000942422,NA,43.5059822093838,25.8851429980594,"LBMT-UCB",10
"70",70,"Best",880.107914036274,"LBMT","UCB",0.235346858120933,1.1,0.184063277004036,NA,44.6690262710395,22.2958871433743,"LBMT-UCB",10
"71",71,"Cumulative",597.537579553493,"LBMT","UCB",0.480848904651981,1.13,0.685483602271998,NA,0.115024336082861,0.0596463505589008,"LBMT-UCB",10
"72",72,"Cumulative",474.353371851642,"LBMT","UCB",0.587873497826156,1.11,0.349454962225195,NA,0.115211690062603,0.0443483782722457,"LBMT-UCB",10
"73",73,"Best",772.863836394806,"LBMT","UCB",0.328522387631159,1.19,0.227987799159308,NA,22.2245667854453,8.16208183539005,"LBMT-UCB",10
"74",74,"Cumulative",1046.36139170075,"LBMT","UCB",0.0909029302604863,0.81,0.388947653023584,NA,0.520246061491837,0.344387477709426,"LBMT-UCB",10
"75",75,"Cumulative",780.452524339651,"LBMT","UCB",0.32192920287822,1.13,0.166298358491956,NA,0.0967689948765123,0.0587973088002924,"LBMT-UCB",10
"76",76,"Cumulative",830.409334086188,"LBMT","UCB",0.278525853218794,0.91,0.00677196516683674,NA,0.472204162249373,0.237112426063544,"LBMT-UCB",10
"77",77,"Cumulative",658.839575060727,"LBMT","UCB",0.427588659265606,1.05,0.818581083805296,NA,0.0947039266182453,0.0519120677316215,"LBMT-UCB",10
"78",78,"Best",1102.72589410244,"LBMT","UCB",0.0419324652021212,1.09,0.00674012544432901,NA,43.8176347328946,39.6678644711388,"LBMT-UCB",10
"79",79,"Best",840.321227851074,"LBMT","UCB",0.269914226634808,1.29,0.395169236705864,NA,0.613896708207661,0.308986384398623,"LBMT-UCB",10
"80",80,"Cumulative",952.656714664267,"LBMT","UCB",0.172315191827489,0.9,0.00674099915150383,NA,44.5308716499734,24.0871971716841,"LBMT-UCB",10
"81",1,"Cumulative",441.458554404505,"LRBF","UCB",0.616453090295831,1.2,NA,0.748567871741124,0.135479609701381,0.0397535801486011,"LRBF-UCB",70
"82",2,"Cumulative",684.588365972449,"LRBF","UCB",0.405217659577693,0.91,NA,0.696998904433923,0.68764346019256,0.102665586633012,"LRBF-UCB",70
"83",3,"Cumulative",746.842959076405,"LRBF","UCB",0.351129780745847,0.9,NA,0.697758072090736,0.614318029189734,0.102670496672731,"LRBF-UCB",70
"84",4,"Cumulative",488.838794030834,"LRBF","UCB",0.575288309800785,1.2,NA,1.00258759891726,0.0572380745954324,0.0433135223084953,"LRBF-UCB",70
"85",5,"Best",906.786689531563,"LRBF","UCB",0.212167871568702,1.26,NA,0.70618728624787,0.387505424567486,0.0851181437742798,"LRBF-UCB",70
"86",6,"Best",1043.81975169727,"LRBF","UCB",0.093111151528803,1.06,NA,47.6850442081278,39.0445572615666,0.345760316982819,"LRBF-UCB",70
"87",7,"Cumulative",448.11304425065,"LRBF","UCB",0.610671553182818,1.05,NA,0.493246130266321,0.145345513878464,0.0296810611508803,"LRBF-UCB",70
"88",8,"Cumulative",563.688368073084,"LRBF","UCB",0.510257691342606,1.21,NA,0.478925940741231,0.189423038111046,0.0400428718739881,"LRBF-UCB",70
"89",9,"Cumulative",719.412191192646,"LRBF","UCB",0.374962111431612,0.88,NA,0.623610354533178,0.648080955516777,0.104413235644015,"LRBF-UCB",70
"90",10,"Cumulative",742.684706342354,"LRBF","UCB",0.354742543416321,0.92,NA,0.605539359341835,0.398718636232288,0.0708577148438922,"LRBF-UCB",70
"91",11,"Best",738.254801124669,"LRBF","UCB",0.358591322513641,0.94,NA,0.696870091771426,0.411306769294628,0.068397072698302,"LRBF-UCB",70
"92",12,"Best",753.055181630313,"LRBF","UCB",0.345732493188105,1.02,NA,0.652302376174196,2.46198628126725,0.435176186298309,"LRBF-UCB",70
"93",13,"Best",793.726860205742,"LRBF","UCB",0.310396227814043,1.04,NA,0.697002545036214,0.620807968602652,0.110359788157075,"LRBF-UCB",70
"94",14,"Best",926.971348677376,"LRBF","UCB",0.194631086831906,1.26,NA,0.703018948557998,0.471980391979085,0.0992445791773421,"LRBF-UCB",70
"95",15,"Cumulative",772.038039617275,"LRBF","UCB",0.329239854308169,0.9,NA,0.764366534910177,0.456829172805984,0.0850321640785009,"LRBF-UCB",70
"96",16,"Cumulative",849.293689873107,"LRBF","UCB",0.262118794772283,0.87,NA,0.629797213259036,0.577010271474054,0.112419532002375,"LRBF-UCB",70
"97",17,"Cumulative",683.511896606876,"LRBF","UCB",0.406152914981484,1.14,NA,0.802216422993148,0.313601962067836,0.0565627772897379,"LRBF-UCB",70
"98",18,"Cumulative",741.009759632355,"LRBF","UCB",0.356197766399611,0.9,NA,0.750147976016591,0.522909136081306,0.0916590045791867,"LRBF-UCB",70
"99",19,"Best",690.31495458997,"LRBF","UCB",0.400242299273802,1.23,NA,0.743972024886897,0.552745382873651,0.0865824710298319,"LRBF-UCB",70
"100",20,"Best",925.693118470311,"LRBF","UCB",0.195741635581996,1.05,NA,0.983959509661693,0.537256528684231,0.108131849776201,"LRBF-UCB",70
"101",21,"Best",663.845659278566,"LRBF","UCB",0.423239285780112,1.02,NA,0.661377965001901,0.806447918148679,0.132862813152575,"LRBF-UCB",70
"102",22,"Best",622.323793347781,"LRBF","UCB",0.459314208791597,0.92,NA,0.461754284724182,0.981802632965463,0.152742095679431,"LRBF-UCB",70
"103",23,"Cumulative",910.929259953443,"LRBF","UCB",0.208568733965201,0.85,NA,0.725646361892847,0.877748472047671,0.186118595425199,"LRBF-UCB",70
"104",24,"Cumulative",738.792905677676,"LRBF","UCB",0.358123807870773,0.83,NA,0.632775105851836,1.00557444093509,0.16350360520546,"LRBF-UCB",70
"105",25,"Best",1001.56805960474,"LRBF","UCB",0.129820160268526,0.76,NA,1.19698419461312,9.02445891419219,1.42333382427447,"LRBF-UCB",70
"106",26,"Best",953.319134852141,"LRBF","UCB",0.171739669587746,1.14,NA,0.601898151443888,0.713106398380241,0.185423410964837,"LRBF-UCB",70
"107",27,"Best",938.279642209336,"LRBF","UCB",0.184806243718239,1.06,NA,0.762348447260749,0.669151091852568,0.139357733293688,"LRBF-UCB",70
"108",28,"Cumulative",866.277373419001,"LRBF","UCB",0.247363073596582,0.82,NA,0.890862545812448,1.86366950254859,0.319903126198101,"LRBF-UCB",70
"109",29,"Cumulative",760.63254177136,"LRBF","UCB",0.339149150229139,0.82,NA,0.648786511599619,0.431520529894365,0.0749197759747684,"LRBF-UCB",70
"110",30,"Cumulative",780.229000153737,"LRBF","UCB",0.322123404598622,1.08,NA,0.826441646027919,0.179537336704105,0.0519336951156576,"LRBF-UCB",70
"111",31,"Best",891.654788714687,"LRBF","UCB",0.225314731536319,1.47,NA,0.747766273933723,0.532268811322329,0.119473793496322,"LRBF-UCB",70
"112",32,"Best",1066.96885425795,"LRBF","UCB",0.0729988065283698,1.07,NA,0.819130401682326,0.581745628432075,0.156899204077306,"LRBF-UCB",70
"113",33,"Best",879.079007704564,"LRBF","UCB",0.236240789929401,0.96,NA,0.781551730551145,0.584721055348616,0.125475959311531,"LRBF-UCB",70
"114",34,"Cumulative",788.067288381911,"LRBF","UCB",0.315313362755981,0.91,NA,0.733436651314153,0.501882165459658,0.0909049627488412,"LRBF-UCB",70
"115",35,"Cumulative",417.826254753386,"LRBF","UCB",0.636985245375748,1.31,NA,0.929897096630054,0.0494494333907087,0.0378104381618979,"LRBF-UCB",70
