"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName"
"64",64,"Best","Smooth",136.841268795948,"BMT","UCB",0.664722808273003,1.21,2.1044753130322,NA,0.0209226793124663,0.00673797570032934,"BMT-UCB"
"65",65,"Best","Smooth",169.279225775009,"BMT","UCB",0.585246001188454,1.14,3.56254745394452,NA,0.0070623328811746,0.0167794791556319,"BMT-UCB"
"66",66,"Cumulative","Rough",221.966755257367,"BMT","UCB",0.45615536150563,1.3,1.48637411273592,NA,0.00934966948313925,0.0335311269619619,"BMT-UCB"
"67",67,"Cumulative","Rough",152.970717056868,"BMT","UCB",0.625203764313459,1.04,4.92958066838119,NA,0.0126550051442895,0.00779987140081918,"BMT-UCB"
"68",68,"Cumulative","Smooth",212.466051407321,"BMT","UCB",0.479433202571419,1.18,6.56588699308214,NA,0.0080133256236115,0.00673795341798671,"BMT-UCB"
"69",69,"Cumulative","Smooth",173.760975687411,"BMT","UCB",0.574265187155711,1.1,7.031963246245,NA,0.0132308973502343,0.00673798955834392,"BMT-UCB"
"70",70,"Best","Rough",153.671149784411,"BMT","UCB",0.623487621807979,1.04,3.52415073562555,NA,0.0157442137239294,0.0125501091856101,"BMT-UCB"
"71",71,"Best","Rough",286.855222475686,"BMT","UCB",0.297170990373638,1.22,1.64474421069361,NA,0.0448113774462575,0.0201763129317124,"BMT-UCB"
"72",72,"Best","Smooth",243.696115222278,"BMT","UCB",0.402915875704571,1.39,5.32031673941945,NA,0.0304316370008252,0.011282630190271,"BMT-UCB"
"73",73,"Best","Smooth",243.486845824084,"BMT","UCB",0.40342861032592,1.14,6.59136377730625,NA,0.0337313663643059,0.00673955833394207,"BMT-UCB"
"74",74,"Best","Smooth",226.570078311957,"BMT","UCB",0.444876678985836,1.24,2.91848611891428,NA,0.0339909354461237,0.0163914707360081,"BMT-UCB"
"75",75,"Best","Rough",225.80009229581,"BMT","UCB",0.446763235223105,1.04,4.23166872206724,NA,0.0108826576458481,0.00673811756855701,"BMT-UCB"
"76",76,"Best","Smooth",297.454518261975,"BMT","UCB",0.271201469944756,1.09,0.634853172286642,NA,0.46959665068144,0.0596409993565482,"BMT-UCB"
"77",77,"Cumulative","Smooth",141.272264186225,"BMT","UCB",0.653866348784728,1.15,6.30719893059241,NA,0.0076483644470164,0.00674318152951003,"BMT-UCB"
"78",78,"Best","Smooth",392.877358490999,"BMT","UCB",0.0374042961820085,1.33,0.82342663050611,NA,0.0509639697187245,0.0882856109050786,"BMT-UCB"
"79",79,"Cumulative","Smooth",179.095771604035,"BMT","UCB",0.561194310152739,1.15,6.4441809629352,NA,0.0144553988791653,0.00673817556558588,"BMT-UCB"
