"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed","mainTextBest"
"121",40,"Best","Rough",411.364741704236,"WSLS","",-0.00789196554264437,1.19,NA,NA,NA,5.24498580537631,"WSLS-",0,NA
"122",41,"Best","Rough",410.091000802484,"WSLS","",-0.00477115062851241,1.15,NA,NA,NA,7.1366604167964,"WSLS-",0,NA
"123",42,"Best","Smooth",402.175734907892,"WSLS","",0.0146221811073145,1.21,NA,NA,NA,1.11954260656944,"WSLS-",0,NA
"124",43,"Best","Smooth",410.761359119648,"WSLS","",-0.00641360729386764,0.96,NA,NA,NA,1.08605775508638,"WSLS-",0,NA
"125",44,"Cumulative","Rough",406.363975384109,"WSLS","",0.00436049968986618,1.28,NA,NA,NA,0.695602398264537,"WSLS-",0,NA
"126",45,"Cumulative","Rough",403.8084680792,"WSLS","",0.0106217929398238,1.27,NA,NA,NA,74.6424093758753,"WSLS-",0,NA
"127",46,"Cumulative","Smooth",410.548043757528,"WSLS","",-0.00589095958537311,1.11,NA,NA,NA,4.39085021368023,"WSLS-",0,NA
"128",47,"Best","Rough",412.145128307245,"WSLS","",-0.00980400444012353,1.28,NA,NA,NA,1.57274171243583,"WSLS-",0,NA
"129",48,"Best","Rough",409.782864257745,"WSLS","",-0.00401617987811198,1.21,NA,NA,NA,148.402293679361,"WSLS-",0,NA
"130",49,"Best","Smooth",406.073343697904,"WSLS","",0.00507258147948375,1.17,NA,NA,NA,74.7049252155503,"WSLS-",0,NA
"131",50,"Best","Smooth",402.677003663893,"WSLS","",0.0133940137401792,1.21,NA,NA,NA,1.35858460872876,"WSLS-",0,NA
"132",51,"Cumulative","Rough",408.21454869121,"WSLS","",-0.000173622413421448,1.02,NA,NA,NA,148.404009755812,"WSLS-",0,NA
"133",52,"Cumulative","Rough",405.54907870114,"WSLS","",0.00635709233927362,1.03,NA,NA,NA,74.8632622388227,"WSLS-",0,NA
"134",53,"Cumulative","Smooth",413.213190892057,"WSLS","",-0.012420883304046,1.29,NA,NA,NA,77.0042992604557,"WSLS-",0,NA
"135",54,"Cumulative","Smooth",407.402668281653,"WSLS","",0.00181558001161808,1.11,NA,NA,NA,9.44189402674716,"WSLS-",0,NA
"136",55,"Best","Rough",412.475034708679,"WSLS","",-0.0106123138980727,0.98,NA,NA,NA,3.15763452202924,"WSLS-",0,NA
"137",56,"Best","Rough",403.300557214729,"WSLS","",0.0118662342533695,1.23,NA,NA,NA,1.30161547194817,"WSLS-",0,NA
"138",57,"Best","Smooth",413.339358455222,"WSLS","",-0.0127300086624786,1.37,NA,NA,NA,2.69006445221901,"WSLS-",0,NA
"139",58,"Best","Smooth",410.664504428439,"WSLS","",-0.00617630191691587,1.08,NA,NA,NA,3.18197939942935,"WSLS-",0,NA
"140",59,"Cumulative","Rough",410.667693289795,"WSLS","",-0.00618411500203075,1.21,NA,NA,NA,0.963857117962267,"WSLS-",0,NA
