"participant","leaveoutindex","reward","environment","horizon","tau"
42,2,"Cumulative","Smooth",20,0.169006500326181
42,3,"Cumulative","Smooth",20,0.202770094170981
42,4,"Cumulative","Smooth",20,0.190776980224663
42,1,"Cumulative","Smooth",40,0.167015577213081
42,2,"Cumulative","Smooth",40,0.148610767386148
42,3,"Cumulative","Smooth",40,0.153592781084498
42,4,"Cumulative","Smooth",40,0.172161544732573
43,1,"Cumulative","Smooth",20,0.21858214796986
43,2,"Cumulative","Smooth",20,0.198567207443497
43,3,"Cumulative","Smooth",20,0.197260106756478
43,4,"Cumulative","Smooth",20,0.213585185633387
43,1,"Cumulative","Smooth",40,0.266959821355785
43,2,"Cumulative","Smooth",40,0.244552828816626
43,3,"Cumulative","Smooth",40,0.232085606668215
43,4,"Cumulative","Smooth",40,0.246647541214997
44,1,"Best","Smooth",20,0.215903262146662
44,2,"Best","Smooth",20,0.191961240240216
44,3,"Best","Smooth",20,0.209115510034415
44,4,"Best","Smooth",20,0.202773610625392
44,1,"Best","Smooth",40,0.229379769993135
44,2,"Best","Smooth",40,0.233263385370571
44,3,"Best","Smooth",40,0.226189495828894
44,4,"Best","Smooth",40,0.253651249535227
45,1,"Best","Smooth",20,0.212411582168436
45,2,"Best","Smooth",20,0.183338242502484
45,3,"Best","Smooth",20,0.207598526221576
45,4,"Best","Smooth",20,0.206156849591383
45,1,"Best","Smooth",40,0.20456196125376
45,2,"Best","Smooth",40,0.217066300713678
45,3,"Best","Smooth",40,0.247405338388892
45,4,"Best","Smooth",40,0.206437062468775
46,1,"Cumulative","Rough",20,0.177972303305366
46,2,"Cumulative","Rough",20,0.164962021086987
46,3,"Cumulative","Rough",20,0.159966614736257
46,4,"Cumulative","Rough",20,0.189683362688485
46,1,"Cumulative","Rough",40,0.255674734245553
46,2,"Cumulative","Rough",40,0.23422366037075
46,3,"Cumulative","Rough",40,0.253826413051061
46,4,"Cumulative","Rough",40,0.233756025635181
47,1,"Cumulative","Rough",20,0.217926005950914
47,2,"Cumulative","Rough",20,0.193383204838689
