"participant","leaveoutindex","reward","environment","horizon","lambda","beta","tau"
40,2,"Cumulative","Rough",20,1.50044115788362,0.00673794898916482,0.084466703247974
40,3,"Cumulative","Rough",20,0.473854920013339,0.411241357638445,0.0067379685861512
40,4,"Cumulative","Rough",20,0.463825208704097,0.486472146560665,0.00673898605308918
40,1,"Cumulative","Rough",40,1.24046354433641,0.0451756129501148,0.135489700938579
40,2,"Cumulative","Rough",40,0.420765850000045,0.528709477313499,0.00673806658636073
40,3,"Cumulative","Rough",40,0.419629279697926,0.526654206407765,0.00673882487050407
40,4,"Cumulative","Rough",40,0.413599834060312,0.522130187151089,0.00674137008843675
41,1,"Cumulative","Rough",20,0.445220354360783,0.472764010571881,0.00674288195152675
41,2,"Cumulative","Rough",20,1.3946453713669,0.00673794716859261,0.110117633404289
41,3,"Cumulative","Rough",20,0.456048896176593,0.465984346521442,0.00673799967009935
41,4,"Cumulative","Rough",20,0.451321107861409,0.474359242015192,0.00676525884835236
41,1,"Cumulative","Rough",40,1.24485526818574,0.00673797266893044,0.170006321180411
41,2,"Cumulative","Rough",40,0.436327864161396,0.510981546305216,0.00673797784718551
41,3,"Cumulative","Rough",40,0.442472202776098,0.518250628511858,0.00673808806568903
41,4,"Cumulative","Rough",40,0.437715193499904,0.518856607610986,0.00673828554761651
42,1,"Cumulative","Smooth",20,1.15490188890581,0.303931093547946,0.0207879323679814
42,2,"Cumulative","Smooth",20,1.5949190065762,0.237406294785151,0.0146818513787782
42,3,"Cumulative","Smooth",20,1.37168820915676,0.205570620166552,0.0247475544684678
42,4,"Cumulative","Smooth",20,1.29782569331676,0.204334760547191,0.0237466771763335
42,1,"Cumulative","Smooth",40,0.414432997329972,0.447270894222208,0.00702747647478064
42,2,"Cumulative","Smooth",40,2.03391313340736,0.0239313010768286,0.030677094821962
42,3,"Cumulative","Smooth",40,1.68309736368509,0.0662648056321525,0.0360199732446758
42,4,"Cumulative","Smooth",40,1.20208248033067,0.248804109415502,0.0302369118358316
