"participant","leaveoutindex","reward","horizon","kError","beta","tau"
28,3,"Cumulative",40,0.00751281286989818,45.9999273170962,20.4807794422169
28,4,"Cumulative",40,0.783655758082467,46.5629127098907,23.4361725315473
29,1,"Cumulative",20,0.00675495137617374,44.4875228108767,20.9937199642087
29,2,"Cumulative",20,0.00673910510935573,41.8458433678014,19.3426768247936
29,3,"Cumulative",20,0.00674172423401815,44.2696741632486,20.9396450441641
29,4,"Cumulative",20,0.00674344063386596,44.8908595005724,21.3078397399327
29,1,"Cumulative",40,0.00673799058193633,44.3300723423473,18.895263674777
29,2,"Cumulative",40,0.00674137047264268,43.9231898911345,17.9964353160259
29,3,"Cumulative",40,0.00676363952319152,44.016154977438,18.1682955399041
29,4,"Cumulative",40,0.00673896974850906,44.7265118291096,18.3657566990927
30,1,"Cumulative",20,3.2696000481497,0.0890325522254075,0.0414391881910003
30,2,"Cumulative",20,4.9399446502551,0.0739472837246346,0.0360343816137798
30,3,"Cumulative",20,3.24063553276761,0.11081521766904,0.0456703555139516
30,4,"Cumulative",20,3.34264698990864,0.0903983600102048,0.0437306218279912
30,1,"Cumulative",40,9.2038105819264,0.048136563901999,0.0265344621658993
30,2,"Cumulative",40,21.3004904906644,0.012776869606675,0.00674761592845773
30,3,"Cumulative",40,5.8783770741525,0.0642606241643867,0.0366425359001357
30,4,"Cumulative",40,4.69096035486272,0.100674922554646,0.0542799541195758
31,1,"Best",20,2.32385039815897,0.352348252773377,0.174499137054308
31,2,"Best",20,2.21247779212181,0.425627215130571,0.203506481505933
31,3,"Best",20,2.57647726909469,0.346191326419853,0.179296644561062
31,4,"Best",20,0.00674701562735931,44.7254899838984,21.6107757692552
31,1,"Best",40,0.655895025269218,0.282722404783303,0.135959591710259
31,2,"Best",40,0.00673941862903472,0.231897788786167,0.107774532927141
31,3,"Best",40,0.00673841062279558,0.265650343538307,0.13697682261996
31,4,"Best",40,0.597108884986073,0.404478773673701,0.198753647538345
32,1,"Best",20,0.00674062756025449,44.64561031703,33.6705930218396
32,2,"Best",20,0.00673799272005888,44.6364917323376,33.4070293445101
32,3,"Best",20,0.00674086824358902,44.6751242018419,42.3928023573016
32,4,"Best",20,0.0067541717241157,44.4867772889332,28.4999969170185
32,1,"Best",40,0.00674332707400244,44.3194153569472,30.413433379227
32,2,"Best",40,0.00697417941260154,45.5533413739341,31.5215932530764
32,3,"Best",40,0.00674627846491854,44.8508822941276,33.9677590378322
32,4,"Best",40,0.00691343733212168,44.8401005923125,31.0749122803753
33,1,"Best",20,0.00674649152889491,43.5820994066685,25.4442106383423
33,2,"Best",20,0.00673803109565671,44.6231784085556,27.3093715566515
33,3,"Best",20,0.00674708845024233,44.4926741227097,22.426484877705
33,4,"Best",20,0.00673799020696811,44.7007438723364,24.6223151090182
33,1,"Best",40,0.00673933878465059,0.380087391790711,0.181567879689695
33,2,"Best",40,0.00674091626659234,0.42602390178408,0.192898787607762
33,3,"Best",40,0.00674196141555014,0.408286321484697,0.184907719943215
33,4,"Best",40,0.00673870907983157,41.600487539195,20.7738459016862
34,1,"Cumulative",20,0.00673998794880127,44.6612042200343,20.3070481574888
34,2,"Cumulative",20,0.00674330561953553,44.6214313850602,20.0058330339271
34,3,"Cumulative",20,0.00674188227163868,44.6778540682979,20.3167133350453
34,4,"Cumulative",20,0.00674477508172896,44.6941860047354,18.6090771127561
34,1,"Cumulative",40,0.496560923249586,0.648851654620831,0.276389909778361
34,2,"Cumulative",40,0.397289930045738,0.549774013118337,0.241456365358774
34,3,"Cumulative",40,0.00685061143452792,44.5320962527159,20.2752497674712
34,4,"Cumulative",40,0.18255303789834,0.550199840311879,0.233454079064669
35,1,"Cumulative",20,9.45871894490105,0.00861904791264698,0.00673821488653614
35,2,"Cumulative",20,9.22793242879186,0.00867510402010397,0.00673856081869543
35,3,"Cumulative",20,10.5823359791708,0.00949846670719693,0.00673794796027921
35,4,"Cumulative",20,10.6674576272464,0.00904243868622384,0.00673830087239311
35,1,"Cumulative",40,4.86463057441521,0.0483182112067983,0.0341864300981028
35,2,"Cumulative",40,2.72555662641892,0.0624638737405856,0.0433932167486892
35,3,"Cumulative",40,3.12983824404761,0.0750841864151668,0.0403166820531723
35,4,"Cumulative",40,2.24612377543944,0.0538870242660358,0.0399280783862398
36,1,"Cumulative",20,14.7903391860844,0.0104938520160457,0.00674413352891219
36,2,"Cumulative",20,7.8380955111437,0.0207789069274258,0.0139458583236391
36,3,"Cumulative",20,16.579562440036,0.0113724334542073,0.00674693044358099
36,4,"Cumulative",20,15.8695865836457,0.0105272717334125,0.00673851933370047
36,1,"Cumulative",40,4.11743267563744,0.0722194800986599,0.0437992624677729
36,2,"Cumulative",40,4.3264070023441,0.0760187385341968,0.0444252496792182
36,3,"Cumulative",40,0.00673846589848832,0.14516835627982,0.0572224077250382
36,4,"Cumulative",40,0.00673802158904306,0.244836029975559,0.117018340350256
37,1,"Cumulative",20,0.00675193219090252,44.6550646981145,18.4269679155096
37,2,"Cumulative",20,0.00674126104575385,44.3762076492853,18.314332847198
37,3,"Cumulative",20,0.0067429471694959,44.4485480221945,19.0373653586845
37,4,"Cumulative",20,0.00674200634369013,44.6209944064627,19.2050342381538
37,1,"Cumulative",40,0.00674159881428399,44.6731171372873,22.5200113686511
37,2,"Cumulative",40,0.00674429780228118,44.6602629823123,21.9562966294916
37,3,"Cumulative",40,0.00674947666946061,44.6694067772591,20.7951621760447
37,4,"Cumulative",40,0.00675003109274949,44.6779671857178,20.8037914477523
38,1,"Best",20,0.00673846263332968,0.422598965576354,0.239550580287599
38,2,"Best",20,0.00673847148797424,5.98496383190336,3.14613097087843
38,3,"Best",20,0.142110975290031,50.3299492117932,23.6172138185977
38,4,"Best",20,0.00674117645923565,44.7086802584046,24.9344744097404
38,1,"Best",40,0.00674057842109617,0.226914238045405,0.101162433352961
38,2,"Best",40,0.00673795331492326,0.21362835603291,0.0972697961511388
38,3,"Best",40,0.00673796144124511,0.241163983179006,0.108375310366325
38,4,"Best",40,0.437330387641759,0.675840205115947,0.308986880195783
39,1,"Best",20,1.45524043771077,44.5740340591079,18.577543998786
39,2,"Best",20,1.36059448435043,0.57000537509068,0.258233915256936
39,3,"Best",20,0.642207001103406,13.2150839438066,6.16420395300318
39,4,"Best",20,1.01887540336173,3.72134643570055,1.67128946773029
39,1,"Best",40,0.00674279630280073,44.6163037946833,19.62589175567
39,2,"Best",40,0.0067650118462402,44.9533138248916,19.8193517890143
39,3,"Best",40,0.00673897182082985,44.8212260120473,21.234962556258
39,4,"Best",40,0.00675275429286118,45.0447009259062,19.4047435381991
40,1,"Best",20,0.00674115567868179,44.7248222094398,27.3343132303056
40,2,"Best",20,0.00673881993133898,44.7194944052191,22.7435355603547
40,3,"Best",20,0.00674121886508436,44.5947363612242,24.8560870908762
40,4,"Best",20,0.00674153606183304,44.730478581629,27.0494973445935
40,1,"Best",40,0.00674208197724833,44.586345461869,30.8648140546822
40,2,"Best",40,0.00674038918255464,44.7290977819955,29.2585924799206
40,3,"Best",40,0.00676209241184542,44.7493562870671,29.0921326633436
40,4,"Best",40,0.00673880383929482,44.7193341676124,32.9846303256674
41,1,"Best",20,0.00674760758615428,0.354458992188483,0.16045743546221
41,2,"Best",20,0.00675783747716156,0.326287644984109,0.150787449593281
41,3,"Best",20,0.00674066115978448,0.262189478256886,0.125565918667714
41,4,"Best",20,0.00674139213309922,44.5744325565933,20.4976584385267
