"participant","leaveoutindex","reward","horizon","lambda","beta","tau"
29,3,"Cumulative",40,0.429773955450009,0.500979108886082,0.00673794723927307
29,4,"Cumulative",40,0.469259373212371,0.510603810679326,0.00673794713698584
30,1,"Cumulative",20,1.02331667893558,0.00673794705960375,0.0414726152065993
30,2,"Cumulative",20,1.09488628239109,0.00673794711912833,0.0480307132418912
30,3,"Cumulative",20,1.31295027904529,0.00673794711703013,0.0415488017263525
30,4,"Cumulative",20,1.04703109429582,0.00673794713698032,0.0447318549605312
30,1,"Cumulative",40,0.931444076567833,0.00673794726571122,0.0769336464155453
30,2,"Cumulative",40,1.06099147847242,0.00673794708227991,0.0868885109830934
30,3,"Cumulative",40,0.935977354684672,0.00673794809025551,0.0652790963644249
30,4,"Cumulative",40,1.12307513218298,0.00673794739710019,0.0775751465207499
31,1,"Best",20,1.05122990703308,0.0110383031891072,0.125272044412268
31,2,"Best",20,1.07131955237691,0.00921364449598172,0.140782207428173
31,3,"Best",20,1.09775565838045,0.0240565904949645,0.123374280589613
31,4,"Best",20,0.410762449366559,0.545758366207496,0.00675554460146822
31,1,"Best",40,1.00657375567463,0.120568334075303,0.130502973266939
31,2,"Best",40,0.652650908023656,0.356083433437774,0.0672753489093676
31,3,"Best",40,0.392041814911635,0.485194355622664,0.00880921227101615
31,4,"Best",40,0.995399336581543,0.164465968586597,0.145894012572794
32,1,"Best",20,1.63868619344742,0.00675092676801935,0.200212329637487
32,2,"Best",20,0.374624583453913,0.520119312015353,0.00673794724317649
32,3,"Best",20,0.371750794978342,0.422829460580275,0.00673939948724631
32,4,"Best",20,1.54088180835992,0.00674020283705302,0.134069634414806
32,1,"Best",40,0.36834571360429,0.547053640490119,0.00673798157934378
32,2,"Best",40,0.374135242252775,0.543118766578312,0.00674421744337017
32,3,"Best",40,0.373928158476322,0.547024720822532,0.00674187938788936
32,4,"Best",40,0.379877400800268,0.551235565971366,0.00693456086256524
33,1,"Best",20,0.415617954850571,0.4050093120687,0.00673798248592
33,2,"Best",20,0.517418753409464,0.279834139198208,0.0114353853310298
33,3,"Best",20,0.434678090077973,0.390725145056261,0.00673795603440233
33,4,"Best",20,0.425625485448897,0.397312087633074,0.00673827466689373
33,1,"Best",40,0.449115089347234,0.455173422156255,0.0212812905142147
33,2,"Best",40,0.39517663690721,0.498150964331329,0.0068885231310554
33,3,"Best",40,0.455927096192081,0.474842182814648,0.0179082984076006
33,4,"Best",40,0.364093054602079,0.520533290813737,0.00673815349955811
34,1,"Cumulative",20,0.444025009336017,0.441305194161008,0.00673825734141156
34,2,"Cumulative",20,0.433295730291536,0.461016016229685,0.00673863529974747
34,3,"Cumulative",20,0.438454169514196,0.456438116806919,0.00673795000394112
34,4,"Cumulative",20,0.438712158428593,0.456440384747632,0.00673794722608731
34,1,"Cumulative",40,0.452011253026513,0.504420794882448,0.00784360062796666
34,2,"Cumulative",40,0.42729467003023,0.513097365367253,0.0067530578809516
34,3,"Cumulative",40,0.426187113224999,0.539999817924466,0.006744082020418
34,4,"Cumulative",40,0.442343103505375,0.523173941069,0.0068207735990865
35,1,"Cumulative",20,1.1902855230355,0.00673794722904708,0.0300831217490427
35,2,"Cumulative",20,1.10186913056958,0.00673794705668002,0.0368320026690816
35,3,"Cumulative",20,1.43681177218466,0.00673794703564698,0.0369648095573567
35,4,"Cumulative",20,1.10509992097444,0.0143199358052385,0.0377785503117541
35,1,"Cumulative",40,0.570542593664346,0.227312492171392,0.0146785045486234
35,2,"Cumulative",40,0.61925825616164,0.205834440690636,0.0154750456342358
35,3,"Cumulative",40,0.626829376902942,0.193176927604885,0.0154813093447099
35,4,"Cumulative",40,0.540377194866986,0.233991777896342,0.0118678495729471
36,1,"Cumulative",20,1.03615430364425,0.00698903296113961,0.0643101933556978
36,2,"Cumulative",20,0.846941013877765,0.0520145091685971,0.0505911196918545
36,3,"Cumulative",20,1.00101902780242,0.00673808013226827,0.0802766140707986
36,4,"Cumulative",20,0.939389983724396,0.0777053872917628,0.0828005711777998
36,1,"Cumulative",40,0.676286158500356,0.139901025357765,0.0438660299875186
36,2,"Cumulative",40,1.07627378276466,0.00673794702932019,0.0764674377529699
36,3,"Cumulative",40,1.06438454487858,0.0067379475391405,0.0859775315913426
36,4,"Cumulative",40,0.442263705477131,0.479846421601369,0.00686662405183792
37,1,"Cumulative",20,0.430803910956535,0.522562189990986,0.00674857078844536
37,2,"Cumulative",20,0.420127752816372,0.529273381585986,0.00673795715322654
37,3,"Cumulative",20,0.411428185887624,0.532309467466469,0.00673978402336216
37,4,"Cumulative",20,0.435218594784065,0.502091149888141,0.00674085451320809
37,1,"Cumulative",40,0.382216934485833,0.51966158871401,0.00673794822164011
37,2,"Cumulative",40,0.419849264607345,0.516840528908753,0.00673794866661901
37,3,"Cumulative",40,0.401733796319124,0.525695264273864,0.00673795518767781
37,4,"Cumulative",40,0.390726504619596,0.523514154662196,0.00673870095515715
38,1,"Best",20,0.864773145402478,0.0376822369166889,0.0968298597017413
38,2,"Best",20,0.430183890577218,0.513524886167848,0.00673799542469193
38,3,"Best",20,0.922837833376229,0.0288013458748436,0.131394169038433
38,4,"Best",20,0.436668498323696,0.511582734623184,0.00694578736797038
38,1,"Best",40,1.06909852553133,0.00673795313170032,0.154348106227621
38,2,"Best",40,1.05229835335688,0.0145403075244262,0.161755175659464
38,3,"Best",40,1.12185977952396,0.00673801074190393,0.176565427601142
