"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed"
"79",79,"Cumulative","Smooth",567.236303343264,"LBMT","UCB",0.507175183154395,1.35,2.34646039123521,NA,0.0916322673938929,0.0448310507581336,"LBMT-UCB",3
"80",80,"Cumulative","Smooth",851.978823958177,"LBMT","UCB",0.259785903337301,0.94,1.94984210989013,NA,22.6500868514167,9.50083356672162,"LBMT-UCB",3
"81",1,"Cumulative","Rough",977.615653441068,"LRBF","UCB",0.150630429482696,0.89,NA,0.756193908054707,0.38083842786994,0.0948050808506375,"LRBF-UCB",77
"82",2,"Cumulative","Rough",931.135257893422,"LRBF","UCB",0.191013409710987,0.86,NA,1.15703373537563,0.677340113865557,0.107582418533459,"LRBF-UCB",77
"83",3,"Cumulative","Smooth",589.406643101281,"LRBF","UCB",0.487913204387782,1.19,NA,1.0499569112926,0.151476948907408,0.0452552025657844,"LRBF-UCB",77
"84",4,"Cumulative","Smooth",642.751497521616,"LRBF","UCB",0.44156626228551,1.27,NA,0.862030045029918,0.288732696074764,0.0549461803064198,"LRBF-UCB",77
"85",5,"Best","Rough",245.612042635478,"LRBF","UCB",0.786607963535693,0.86,NA,0.662882169971924,0.0524052418691805,0.0248613003233506,"LRBF-UCB",77
"86",6,"Best","Rough",881.104949087719,"LRBF","UCB",0.234480616637937,0.92,NA,0.409482945868026,0.302798006317198,0.0684758579714666,"LRBF-UCB",77
"87",7,"Best","Smooth",990.896562874552,"LRBF","UCB",0.139091743188249,1.39,NA,1.02382800374592,0.842807994316964,0.158527116408132,"LRBF-UCB",77
"88",8,"Best","Smooth",970.252584285172,"LRBF","UCB",0.157027592687499,1.38,NA,0.978089305453751,0.399591561857914,0.0905802664158561,"LRBF-UCB",77
"89",9,"Cumulative","Rough",441.721481310608,"LRBF","UCB",0.616224654803285,1.24,NA,0.485864450584134,0.212481056918665,0.0353391809825477,"LRBF-UCB",77
"90",10,"Cumulative","Rough",644.794149436606,"LRBF","UCB",0.439791570591853,1.1,NA,0.61900572374487,0.240814011686786,0.0524563380083814,"LRBF-UCB",77
"91",11,"Cumulative","Smooth",817.280061964276,"LRBF","UCB",0.289932794366003,1.07,NA,0.916577996837359,0.509730861601883,0.0916745939611175,"LRBF-UCB",77
"92",12,"Cumulative","Smooth",920.003211543824,"LRBF","UCB",0.200685126191442,1.05,NA,1.03115248031965,0.502066928214478,0.0928611462172272,"LRBF-UCB",77
"93",13,"Best","Rough",652.555832175039,"LRBF","UCB",0.433048084937925,1.16,NA,0.829567120906997,0.466578532180184,0.0703214935796255,"LRBF-UCB",77
"94",14,"Best","Rough",761.058987894464,"LRBF","UCB",0.338778646382198,1.12,NA,0.754434048657529,0.4229948291043,0.0802350446165223,"LRBF-UCB",77
"95",15,"Best","Smooth",947.729197654043,"LRBF","UCB",0.176596304749484,1.29,NA,0.851849332292629,1.1142222351762,0.245925874582989,"LRBF-UCB",77
"96",16,"Best","Smooth",570.850494553213,"LRBF","UCB",0.504035110647416,1.2,NA,0.661893461373237,0.624707210071611,0.0907502843814207,"LRBF-UCB",77
"97",17,"Cumulative","Rough",709.020002397231,"LRBF","UCB",0.383991026734704,0.84,NA,0.565204161243058,0.566789198602559,0.0965412880037063,"LRBF-UCB",77
"98",18,"Cumulative","Rough",519.301363206323,"LRBF","UCB",0.548821897150409,1.17,NA,0.898400277611073,0.144328656035607,0.0419601508086242,"LRBF-UCB",77
"99",19,"Cumulative","Smooth",816.089596699244,"LRBF","UCB",0.290967091400137,1.06,NA,0.947854951319746,0.502502260962937,0.093950501151759,"LRBF-UCB",77
"100",20,"Cumulative","Smooth",664.761289965757,"LRBF","UCB",0.422443769831903,1.01,NA,0.653133844295053,0.553133303315672,0.0900549870396645,"LRBF-UCB",77
"101",21,"Best","Rough",807.868443871261,"LRBF","UCB",0.298109772700382,1.31,NA,1.07551098568106,0.47717019493481,0.0778725210193054,"LRBF-UCB",77
"102",22,"Best","Rough",852.795971634445,"LRBF","UCB",0.259075951150674,1.14,NA,1.18279706691899,0.563191554925095,0.096339973494671,"LRBF-UCB",77
"103",23,"Best","Smooth",807.142848277221,"LRBF","UCB",0.298740182837443,1.39,NA,2.55468406798228,0.381508703307095,0.0678022511138883,"LRBF-UCB",77
"104",24,"Best","Smooth",997.528493497975,"LRBF","UCB",0.13332980592232,1.26,NA,0.544190009419744,0.400743606356857,0.106282497028433,"LRBF-UCB",77
"105",25,"Cumulative","Rough",675.716057049513,"LRBF","UCB",0.412926076676831,0.9,NA,0.744438061060692,0.490637928770475,0.0792157255548165,"LRBF-UCB",77
"106",26,"Cumulative","Rough",647.931378039612,"LRBF","UCB",0.437065891536111,0.92,NA,0.782498358292171,0.469982822107986,0.0737296627329677,"LRBF-UCB",77
"107",27,"Cumulative","Smooth",732.206856239835,"LRBF","UCB",0.363845882760568,1.18,NA,0.907049450188533,0.335106684685357,0.0636568180581799,"LRBF-UCB",77
"108",28,"Cumulative","Smooth",801.847536414022,"LRBF","UCB",0.303340842357542,1.15,NA,0.65818828281308,0.661520169890466,0.128635211765417,"LRBF-UCB",77
"109",29,"Best","Rough",633.280898649363,"LRBF","UCB",0.449794484152001,1.09,NA,0.627062762961848,0.523839455625706,0.0862692155744647,"LRBF-UCB",77
"110",30,"Best","Rough",716.870273548462,"LRBF","UCB",0.377170573919023,1.23,NA,0.804530210349782,0.46468808741006,0.0800103534343775,"LRBF-UCB",77
"111",31,"Best","Smooth",882.420586293038,"LRBF","UCB",0.23333756803381,1.4,NA,0.91822609403489,0.460633355563376,0.0927647805000837,"LRBF-UCB",77
"112",32,"Best","Smooth",805.236417198584,"LRBF","UCB",0.300396523487047,1.27,NA,0.814381165184948,0.571028679761281,0.0956472395650023,"LRBF-UCB",77
"113",33,"Cumulative","Rough",573.804092462613,"LRBF","UCB",0.501468973148536,0.85,NA,0.69949412440512,0.662422980536409,0.0949822742290556,"LRBF-UCB",77
"114",34,"Cumulative","Smooth",588.54104913979,"LRBF","UCB",0.488665247553955,1.05,NA,0.555945396244534,0.60315884228785,0.0906607048966084,"LRBF-UCB",77
"115",35,"Cumulative","Smooth",738.395243653795,"LRBF","UCB",0.358469303589102,1.07,NA,0.769816651087245,0.451249208685546,0.0786252526329823,"LRBF-UCB",77
"116",36,"Best","Rough",943.618710565021,"LRBF","UCB",0.180167567792512,1.25,NA,0.95006092085497,0.508399387574406,0.100851565120977,"LRBF-UCB",77
"117",37,"Best","Rough",432.170720358642,"LRBF","UCB",0.624522522886034,0.65,NA,0.448942343447703,0.161342910474353,0.0298169745927719,"LRBF-UCB",77
"118",38,"Best","Smooth",714.088289549046,"LRBF","UCB",0.379587610252733,1.25,NA,0.641931794848178,0.500086196490331,0.0853354605935452,"LRBF-UCB",77
"119",39,"Best","Smooth",747.3077772424,"LRBF","UCB",0.350725938597216,1.07,NA,0.685099509219186,0.560217871690136,0.100205806289987,"LRBF-UCB",77
"120",40,"Cumulative","Rough",764.468744674516,"LRBF","UCB",0.335816190081865,0.91,NA,0.829497621406583,0.641849611575522,0.106543229014815,"LRBF-UCB",77
"121",41,"Cumulative","Rough",712.578484938088,"LRBF","UCB",0.380899354893339,0.93,NA,0.81390957132138,0.822252778049722,0.109264572658141,"LRBF-UCB",77
"122",42,"Cumulative","Smooth",723.464535519919,"LRBF","UCB",0.371441363836451,1.4,NA,2.26929719543464,0.21809124579753,0.062243578770135,"LRBF-UCB",77
"123",43,"Cumulative","Smooth",819.929271132238,"LRBF","UCB",0.287631115127049,1.03,NA,0.679043808473248,0.634783905578701,0.117125819396215,"LRBF-UCB",77
"124",44,"Best","Smooth",825.750133292548,"LRBF","UCB",0.282573848321081,1.4,NA,0.737913907711559,0.472966231285102,0.0873948455320365,"LRBF-UCB",77
"125",45,"Best","Smooth",846.93894135163,"LRBF","UCB",0.264164641453771,1.39,NA,0.664419320050639,0.64646565156062,0.124763863390777,"LRBF-UCB",77
"126",46,"Cumulative","Rough",742.94555984305,"LRBF","UCB",0.354515909334641,0.98,NA,0.624237303297701,0.413870245914397,0.0750863952961706,"LRBF-UCB",77
"127",47,"Cumulative","Rough",578.103052835358,"LRBF","UCB",0.497733961221694,0.86,NA,0.687219827805664,0.962728608851303,0.139144913290381,"LRBF-UCB",77
"128",48,"Cumulative","Smooth",422.125242667158,"LRBF","UCB",0.633250209520781,1.13,NA,0.85353333907154,0.245911405714417,0.0470674894339504,"LRBF-UCB",77
"129",49,"Cumulative","Smooth",606.489713789368,"LRBF","UCB",0.473071133925444,1.07,NA,0.830415575309777,0.542757160106884,0.0717827620425511,"LRBF-UCB",77
