"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName"
"99",19,"Cumulative","Smooth",885.076594704207,"LRBF","UCB",0.231029981493492,1.06,NA,147.681051382292,144.816443823651,0.350130323059065,"LRBF-UCB"
"100",20,"Cumulative","Smooth",747.282057772017,"LRBF","UCB",0.350748284122716,1.01,NA,148.401365675711,148.263165083633,0.229783778236449,"LRBF-UCB"
"101",21,"Best","Rough",906.816854668119,"LRBF","UCB",0.212141663570711,1.31,NA,144.463479206914,146.786776037324,0.360457397933334,"LRBF-UCB"
"102",22,"Best","Rough",915.711444875988,"LRBF","UCB",0.204413888101698,1.14,NA,147.773792605779,145.744275831249,0.34619012298968,"LRBF-UCB"
"103",23,"Best","Smooth",1022.10089092475,"LRBF","UCB",0.111980877459995,1.39,NA,147.071565113831,148.298077594292,0.491614100207992,"LRBF-UCB"
"104",24,"Best","Smooth",934.15491312678,"LRBF","UCB",0.188389880454229,1.26,NA,148.279773128811,146.331395069821,0.384011289726825,"LRBF-UCB"
"105",25,"Cumulative","Rough",841.879041653592,"LRBF","UCB",0.268560770769271,0.9,NA,147.208996314509,147.090598170137,0.292349472312405,"LRBF-UCB"
"106",26,"Cumulative","Rough",847.688297693704,"LRBF","UCB",0.26351358756343,0.92,NA,0.450409724508742,0.35178015978494,0.0799069692719913,"LRBF-UCB"
"107",27,"Cumulative","Smooth",810.233097266241,"LRBF","UCB",0.296055320491636,1.18,NA,148.139166220572,147.253004098617,0.274002610103821,"LRBF-UCB"
"108",28,"Cumulative","Smooth",868.18104442617,"LRBF","UCB",0.245709130945322,1.15,NA,0.511696669326613,0.381596018957943,0.0902699605066386,"LRBF-UCB"
"109",29,"Best","Rough",711.65310311087,"LRBF","UCB",0.381703342802476,1.09,NA,148.393724731203,148.401646229853,0.280872665254336,"LRBF-UCB"
"110",30,"Best","Rough",811.649267851064,"LRBF","UCB",0.294824926729858,1.23,NA,144.473041908352,143.158447945432,0.292134397509144,"LRBF-UCB"
"111",31,"Best","Smooth",899.012144307788,"LRBF","UCB",0.218922532374757,1.4,NA,70.8098450375199,141.788950743119,0.397926472545173,"LRBF-UCB"
"112",32,"Best","Smooth",813.396259565167,"LRBF","UCB",0.293307109787503,1.27,NA,133.126253450067,141.70360870982,0.294669427569478,"LRBF-UCB"
"113",33,"Cumulative","Rough",640.731053896518,"LRBF","UCB",0.443321659028662,0.85,NA,148.409613423067,148.409611061616,0.244307141116284,"LRBF-UCB"
"114",34,"Cumulative","Smooth",654.405988936249,"LRBF","UCB",0.431440636399098,1.05,NA,148.406587225095,148.393530491192,0.258280495402335,"LRBF-UCB"
"115",35,"Cumulative","Smooth",735.184324962311,"LRBF","UCB",0.361259005881974,1.07,NA,148.410505207659,148.378776143467,0.266399171538231,"LRBF-UCB"
"116",36,"Best","Rough",961.698491983336,"LRBF","UCB",0.164459537623121,1.25,NA,73.7974942945831,73.3671660692042,0.239237638669251,"LRBF-UCB"
"117",37,"Best","Rough",695.993134966008,"LRBF","UCB",0.395308996896391,0.65,NA,74.3842711877158,74.3285414109742,0.157525250446294,"LRBF-UCB"
"118",38,"Best","Smooth",743.594515756158,"LRBF","UCB",0.353952085092198,1.25,NA,148.364223919503,148.344689210495,0.28872506539726,"LRBF-UCB"
"119",39,"Best","Smooth",785.836426763953,"LRBF","UCB",0.317251574329884,1.07,NA,0.355103039826068,0.372496204199038,0.0852380495248351,"LRBF-UCB"
"120",40,"Cumulative","Rough",818.61375060789,"LRBF","UCB",0.288774062356708,0.91,NA,57.4804938820556,147.724309064968,0.317283750397459,"LRBF-UCB"
"121",41,"Cumulative","Rough",743.249871855192,"LRBF","UCB",0.354251517738468,0.93,NA,148.39573863125,148.299930199157,0.26527001747411,"LRBF-UCB"
"122",42,"Cumulative","Smooth",867.956336989426,"LRBF","UCB",0.24590436069473,1.4,NA,0.264185263954483,0.230694210848468,0.0642118340471416,"LRBF-UCB"
"123",43,"Cumulative","Smooth",834.577337801776,"LRBF","UCB",0.274904618725092,1.03,NA,147.714576000302,147.687682078677,0.316882929027548,"LRBF-UCB"
"124",44,"Best","Smooth",775.951308093805,"LRBF","UCB",0.325839938243475,1.4,NA,148.324820683316,148.212088910281,0.303305720321274,"LRBF-UCB"
"125",45,"Best","Smooth",749.386109991463,"LRBF","UCB",0.348920246771139,1.39,NA,148.348912769238,148.381929233063,0.29355841492257,"LRBF-UCB"
"126",46,"Cumulative","Rough",914.657872012241,"LRBF","UCB",0.205329250624423,0.98,NA,0.488819503069933,0.318621458329676,0.0794123859820895,"LRBF-UCB"
"127",47,"Cumulative","Rough",724.338239492573,"LRBF","UCB",0.3706822745508,0.86,NA,148.403256298767,148.385798606028,0.276383302271099,"LRBF-UCB"
"128",48,"Cumulative","Smooth",876.432318690515,"LRBF","UCB",0.238540279614578,1.13,NA,0.508171324331526,0.318003449464664,0.0813119118897652,"LRBF-UCB"
"129",49,"Cumulative","Smooth",646.15410388005,"LRBF","UCB",0.438610018396483,1.07,NA,148.310543705834,148.333538764166,0.245131708504735,"LRBF-UCB"
"130",50,"Best","Rough",831.48545883307,"LRBF","UCB",0.277590897225746,1.06,NA,0.345243396038764,0.271957710777953,0.0656365923714821,"LRBF-UCB"
"131",51,"Best","Rough",718.541125687604,"LRBF","UCB",0.375718908370476,1.45,NA,143.242194928579,147.584862863137,0.268794500024811,"LRBF-UCB"
"132",52,"Best","Smooth",753.797435345179,"LRBF","UCB",0.345087610184451,1.4,NA,148.318558487742,148.331839596199,0.295696139891962,"LRBF-UCB"
"133",53,"Best","Smooth",972.991682017951,"LRBF","UCB",0.154647816691988,1.47,NA,20.421369997569,72.2270519745568,0.25406109386763,"LRBF-UCB"
"134",54,"Cumulative","Rough",858.013504692949,"LRBF","UCB",0.254542867215835,0.92,NA,148.097497806167,147.817726981357,0.292838105298562,"LRBF-UCB"
"135",55,"Cumulative","Rough",971.340363748968,"LRBF","UCB",0.156082510872647,0.93,NA,70.7572228302855,138.122406417405,0.347913673602491,"LRBF-UCB"
"136",56,"Cumulative","Smooth",841.424926164034,"LRBF","UCB",0.268955314245506,1.04,NA,120.290342043401,148.238626833195,0.284330302397981,"LRBF-UCB"
"137",57,"Cumulative","Smooth",885.861690699721,"LRBF","UCB",0.230347876367436,1.05,NA,148.359198494528,142.660359353704,0.329541649376429,"LRBF-UCB"
"138",58,"Best","Rough",694.354255393868,"LRBF","UCB",0.396732884119778,1.21,NA,148.347995360843,148.362389085327,0.261949934657393,"LRBF-UCB"
