"","participant","reward","environment","horizon","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","roundnLL","bonus"
"145",19,"Cumulative","Smooth",20,1,874.080016076411,0.240584001248981,"LBMT","UCB",0.00674474209022176,NA,0.278505610227647,0.140312036008513,82.1116229033335,1.06
"146",19,"Cumulative","Smooth",20,2,874.080016076411,0.240584001248981,"LBMT","UCB",0.00674253626058933,NA,44.6918881181983,25.4155378912405,66.0605421505701,1.06
"147",19,"Cumulative","Smooth",20,3,874.080016076411,0.240584001248981,"LBMT","UCB",0.00673912718183175,NA,0.264224207041106,0.141161247786239,71.9635748523654,1.06
"148",19,"Cumulative","Smooth",20,4,874.080016076411,0.240584001248981,"LBMT","UCB",0.00673797440764713,NA,0.290779015585949,0.143771359169142,85.0224660161525,1.06
"149",19,"Cumulative","Smooth",40,1,874.080016076411,0.240584001248981,"LBMT","UCB",0.00674400352430952,NA,0.227582624620233,0.115781361468571,121.004473471409,1.06
"150",19,"Cumulative","Smooth",40,2,874.080016076411,0.240584001248981,"LBMT","UCB",0.335529281771407,NA,0.230553836431715,0.109498860012931,149.543248100153,1.06
"151",19,"Cumulative","Smooth",40,3,874.080016076411,0.240584001248981,"LBMT","UCB",0.201538029466547,NA,0.211271862828133,0.105008768201507,132.637297494994,1.06
"152",19,"Cumulative","Smooth",40,4,874.080016076411,0.240584001248981,"LBMT","UCB",0.074436964648077,NA,0.213794853609092,0.0970224570845537,165.736791087433,1.06
"153",20,"Cumulative","Smooth",20,1,686.019261727338,0.403974472330734,"LBMT","UCB",0.343211894136758,NA,0.241292696616059,0.0905633886329272,45.0535699385223,1.01
"154",20,"Cumulative","Smooth",20,2,686.019261727338,0.403974472330734,"LBMT","UCB",0.00677232461842473,NA,47.1172477147506,17.6026004635394,42.1700705364374,1.01
"155",20,"Cumulative","Smooth",20,3,686.019261727338,0.403974472330734,"LBMT","UCB",0.602283656389361,NA,0.373029455321537,0.136856004517253,46.5801817871686,1.01
"156",20,"Cumulative","Smooth",20,4,686.019261727338,0.403974472330734,"LBMT","UCB",0.855913791529159,NA,0.4166264259902,0.131772571852702,82.1694543582188,1.01
"157",20,"Cumulative","Smooth",40,1,686.019261727338,0.403974472330734,"LBMT","UCB",0.598797558205482,NA,0.363029433974497,0.14677069658455,119.151878159308,1.01
"158",20,"Cumulative","Smooth",40,2,686.019261727338,0.403974472330734,"LBMT","UCB",0.00674658215982863,NA,0.542561290012724,0.221162439855717,122.426742597948,1.01
