"participant","leaveoutindex","reward","environment","horizon","kError","beta","tau"
8,7,"Cumulative","Rough",10,8.54334249469623,0.0067390341256293,0.00673795289196173
8,8,"Cumulative","Rough",10,9.20282111984794,0.00673899381108684,0.006738033302263
9,1,"Cumulative","Smooth",5,0.245660963173893,4.80258405614935,0.0487310636220937
9,2,"Cumulative","Smooth",5,0.232620583846156,26.7614671231754,0.0140538764702638
9,3,"Cumulative","Smooth",5,3.17550735710294,32.4835550940977,0.0615143668838244
9,4,"Cumulative","Smooth",5,0.90485773098014,8.50071656090841,0.0407394581280611
9,5,"Cumulative","Smooth",5,0.684570162926709,14.4156329757508,0.0337498474572273
9,6,"Cumulative","Smooth",5,5.24276596246332,5.57314033623906,0.0248211202596837
9,7,"Cumulative","Smooth",5,0.99479571850935,4.35466835859616,0.00749974625292907
9,8,"Cumulative","Smooth",5,0.339184365648927,31.6970787099979,0.0551190414586577
9,1,"Cumulative","Smooth",10,0.00836589805234631,4.03214099392688,0.01380015024568
9,2,"Cumulative","Smooth",10,0.0225341940764386,13.8846723191025,0.459304420001305
9,3,"Cumulative","Smooth",10,0.0264459087721597,26.5563916557468,0.366673992750306
9,4,"Cumulative","Smooth",10,0.377466815845836,0.761440622612548,0.0206418339196987
9,5,"Cumulative","Smooth",10,0.0369669081986849,5.68673266479514,0.322962504159821
9,6,"Cumulative","Smooth",10,0.230989009000224,17.1005140963778,0.0746862386722317
9,7,"Cumulative","Smooth",10,9.18320911500668,39.0727760069549,0.0648305197525671
9,8,"Cumulative","Smooth",10,0.0646431961311215,12.603310097511,0.0294928817904587
10,1,"Cumulative","Smooth",5,0.0128510428077595,20.6563704048985,0.0879225132182064
10,2,"Cumulative","Smooth",5,0.462601259041843,3.03224956838346,0.12140111850766
10,3,"Cumulative","Smooth",5,0.13853711895448,1.57197761482272,0.0389725092586686
10,4,"Cumulative","Smooth",5,0.10983478807053,7.50823917639627,0.196650467968542
10,5,"Cumulative","Smooth",5,1.39900004678961,9.57068724880095,0.160452998634847
10,6,"Cumulative","Smooth",5,0.233684279891749,7.88292598538098,0.0379149231264553
10,7,"Cumulative","Smooth",5,0.0317900313613208,0.896115008788195,0.0156434196200397
10,8,"Cumulative","Smooth",5,0.0316714738641098,2.85435238389309,0.025585371789702
10,1,"Cumulative","Smooth",10,0.176048953873467,9.89071032031038,0.208736003861796
10,2,"Cumulative","Smooth",10,0.142609822236762,12.9381285649466,0.125155430521351
10,3,"Cumulative","Smooth",10,0.292970414402303,27.6625582455096,0.166124294778784
10,4,"Cumulative","Smooth",10,0.0581494779732323,10.9392161168396,0.315557248853004
10,5,"Cumulative","Smooth",10,0.0100164213620254,14.9276496749178,0.011501839466157
10,6,"Cumulative","Smooth",10,1.24439532516847,5.85354308548563,0.0208791134433007
10,7,"Cumulative","Smooth",10,0.0202234972098935,19.6789212501516,0.173192191485557
10,8,"Cumulative","Smooth",10,0.477541207994119,46.4780679519726,0.102169359306772
11,1,"Best","Rough",5,0.19038539992973,1.04091363535337,0.00714526526711319
11,2,"Best","Rough",5,0.298317754631171,5.54680524433469,0.0810732236640318
11,3,"Best","Rough",5,0.0290546570656824,9.87537781182274,0.139246751003627
11,4,"Best","Rough",5,0.018834950449685,10.6676639947442,0.0963774911040231
11,5,"Best","Rough",5,2.06334902223879,17.6451010860635,0.0162936604159007
11,6,"Best","Rough",5,0.329636961655336,51.6932524553689,0.615247572225343
